data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2009,1,Malt and malt products,361377478,374191807,361377478,374191807
Pounds of Materials Used,Grain Products,2009,1,Corn and corn products,63115693,57563571,63115693,57563571
Pounds of Materials Used,Grain Products,2009,1,Rice and rice products,59961083,72866351,59961083,72866351
Pounds of Materials Used,Grain Products,2009,1,Barley and barley products,2169601,3819222,2169601,3819222
Pounds of Materials Used,Grain Products,2009,1,Wheat and wheat products,873714,1177586,873714,1177586
Pounds of Materials Used,Total Grain products,2009,1,Total Grain products,487497569,509618537,487497569,509618537
Pounds of Materials Used,Non-Grain Products,2009,1,Sugar and syrups,67834569,78575422,67834569,78575422
Pounds of Materials Used,Non-Grain Products,2009,1,Hops (dry),1461121,4506953,1461121,4506953
Pounds of Materials Used,Non-Grain Products,2009,1,Hops (used as extracts),324497,621912,324497,621912
Pounds of Materials Used,Non-Grain Products,2009,1,Other,1424001,1279564,1424001,1279564
Pounds of Materials Used,Total Non-Grain products,2009,1,Total Non-Grain products,71044188,84983851,71044188,84983851
Pounds of Materials Used,Total Used,2009,1,Total Used,558541757,594602388,558541757,594602388
Pounds of Materials Used,Grain Products,2009,2,Malt and malt products,339472713,356380767,700856291,730572574
Pounds of Materials Used,Grain Products,2009,2,Corn and corn products,60966715,59513472,124082408,117077043
Pounds of Materials Used,Grain Products,2009,2,Rice and rice products,60150183,66061597,120111266,138927948
Pounds of Materials Used,Grain Products,2009,2,Barley and barley products,3334476,3116333,5504077,6935555
Pounds of Materials Used,Grain Products,2009,2,Wheat and wheat products,1142813,1247933,2016527,2425519
Pounds of Materials Used,Total Grain products,2009,2,Total Grain products,465066900,486320102,952570569,995938639
Pounds of Materials Used,Non-Grain Products,2009,2,Sugar and syrups,69375203,80195077,137209772,158770499
Pounds of Materials Used,Non-Grain Products,2009,2,Hops (dry),4601598,1816390,6062839,6323343
Pounds of Materials Used,Non-Grain Products,2009,2,Hops (used as extracts),345975,476688,670472,1098600
Pounds of Materials Used,Non-Grain Products,2009,2,Other,939857,1321750,2363858,2601314
Pounds of Materials Used,Total Non-Grain products,2009,2,Total Non-Grain products,75262633,83809905,146306941,168793756
Pounds of Materials Used,Total Used,2009,2,Total Used,540329533,570130007,1098877510,1164732395
Pounds of Materials Used,Grain Products,2009,3,Malt and malt products,380133298,400460958,1080736584,1131033532
Pounds of Materials Used,Grain Products,2009,3,Corn and corn products,66543131,60800726,190625839,177877769
Pounds of Materials Used,Grain Products,2009,3,Rice and rice products,64006735,72627795,184963333,211558089
Pounds of Materials Used,Grain Products,2009,3,Barley and barley products,7094005,7435598,13145280,14371153
Pounds of Materials Used,Grain Products,2009,3,Wheat and wheat products,2175247,1934403,4210721,4359922
Pounds of Materials Used,Total Grain products,2009,3,Total Grain products,519952416,543259480,1473681757,1539200465
Pounds of Materials Used,Non-Grain Products,2009,3,Sugar and syrups,70030415,78910159,207294067,237680658
Pounds of Materials Used,Non-Grain Products,2009,3,Hops (dry),6787391,6100193,12853191,12423525
Pounds of Materials Used,Non-Grain Products,2009,3,Hops (used as extracts),382897,1195722,1053577,2294322
Pounds of Materials Used,Non-Grain Products,2009,3,Other,6604657,2381920,8974660,4983344
Pounds of Materials Used,Total Non-Grain products,2009,3,Total Non-Grain products,83805360,88587994,230175495,257381849
Pounds of Materials Used,Total Used,2009,3,Total Used,603757776,631847474,1703857252,1796582314
Pounds of Materials Used,Grain Products,2009,4,Malt and malt products,384396702,388670342,1465133286,1519703874
Pounds of Materials Used,Grain Products,2009,4,Corn and corn products,67266636,61555980,257892475,239433749
Pounds of Materials Used,Grain Products,2009,4,Rice and rice products,63166930,73309991,248130263,284868080
Pounds of Materials Used,Grain Products,2009,4,Barley and barley products,3349556,3912088,16494836,18283241
Pounds of Materials Used,Grain Products,2009,4,Wheat and wheat products,1569606,1405033,5780327,5764955
Pounds of Materials Used,Total Grain products,2009,4,Total Grain products,519749430,528853434,1993431187,2068053899
Pounds of Materials Used,Non-Grain Products,2009,4,Sugar and syrups,71341108,81200057,278635175,318880715
Pounds of Materials Used,Non-Grain Products,2009,4,Hops (dry),5574889,6864666,18428080,19288191
Pounds of Materials Used,Non-Grain Products,2009,4,Hops (used as extracts),388369,503072,1441946,2797394
Pounds of Materials Used,Non-Grain Products,2009,4,Other,6169478,1332607,15144138,6315951
Pounds of Materials Used,Total Non-Grain products,2009,4,Total Non-Grain products,83473844,89900402,313649339,347282251
Pounds of Materials Used,Total Used,2009,4,Total Used,603223274,618753836,2307080526,2415336150
Pounds of Materials Used,Grain Products,2009,5,Malt and malt products,391469434,411341544,1856668052,1931045418
Pounds of Materials Used,Grain Products,2009,5,Corn and corn products,62481084,63945802,320373559,303379551
Pounds of Materials Used,Grain Products,2009,5,Rice and rice products,67120251,76219021,315250514,361087101
Pounds of Materials Used,Grain Products,2009,5,Barley and barley products,3684818,3660048,20180000,21943289
Pounds of Materials Used,Grain Products,2009,5,Wheat and wheat products,1712205,1697878,7492532,7462833
Pounds of Materials Used,Total Grain products,2009,5,Total Grain products,526467792,556864293,2519964657,2624918192
Pounds of Materials Used,Non-Grain Products,2009,5,Sugar and syrups,75011893,89946309,353647068,408827024
Pounds of Materials Used,Non-Grain Products,2009,5,Hops (dry),7051829,7470400,25480154,26758591
Pounds of Materials Used,Non-Grain Products,2009,5,Hops (used as extracts),450264,545875,1892210,3343269
Pounds of Materials Used,Non-Grain Products,2009,5,Other,6915331,1804156,22059123,8120107
Pounds of Materials Used,Total Non-Grain products,2009,5,Total Non-Grain products,89429317,99766740,403078555,447048991
Pounds of Materials Used,Total Used,2009,5,Total Used,615897109,656631033,2923043212,3071967183
Pounds of Materials Used,Grain Products,2009,6,Malt and malt products,381247341,415350597,2242117420,2346396015
Pounds of Materials Used,Grain Products,2009,6,Corn and corn products,62107546,65610104,382481467,368989655
Pounds of Materials Used,Grain Products,2009,6,Rice and rice products,64576127,71931873,381522344,434013436
Pounds of Materials Used,Grain Products,2009,6,Barley and barley products,8146509,8078625,28472349,30021914
Pounds of Materials Used,Grain Products,2009,6,Wheat and wheat products,1966215,2266315,9545902,9729148
Pounds of Materials Used,Total Grain products,2009,6,Total Grain products,518043738,563237514,3044139482,3189150168
Pounds of Materials Used,Non-Grain Products,2009,6,Sugar and syrups,69563483,81016162,423322455,489843186
Pounds of Materials Used,Non-Grain Products,2009,6,Hops (dry),6854083,7373780,32359017,34132371
Pounds of Materials Used,Non-Grain Products,2009,6,Hops (used as extracts),381321,513130,2273531,3856399
Pounds of Materials Used,Non-Grain Products,2009,6,Other,6216613,2623660,28284401,10743767
Pounds of Materials Used,Total Non-Grain products,2009,6,Total Non-Grain products,83015500,91526732,486239404,538575723
Pounds of Materials Used,Total Used,2009,6,Total Used,601059238,654764246,3530378886,3727725891
Pounds of Materials Used,Grain Products,2009,7,Malt and malt products,382672919,404594120,2662446464,2751067858
Pounds of Materials Used,Grain Products,2009,7,Corn and corn products,68510353,66377521,450993766,435367176
Pounds of Materials Used,Grain Products,2009,7,Rice and rice products,63277242,75689964,445884529,509703400
Pounds of Materials Used,Grain Products,2009,7,Barley and barley products,4185235,3393374,33131330,33405477
Pounds of Materials Used,Grain Products,2009,7,Wheat and wheat products,1475523,1371856,11212754,11101504
Pounds of Materials Used,Total Grain products,2009,7,Total Grain products,520121272,551426835,3603668843,3740645415
Pounds of Materials Used,Non-Grain Products,2009,7,Sugar and syrups,64776817,76786623,488127572,566629809
Pounds of Materials Used,Non-Grain Products,2009,7,Hops (dry),7309199,1753906,39704504,35887416
Pounds of Materials Used,Non-Grain Products,2009,7,Hops (used as extracts),359130,508794,2632661,4365193
Pounds of Materials Used,Non-Grain Products,2009,7,Other,13368693,1438031,54137202,12181798
Pounds of Materials Used,Total Non-Grain products,2009,7,Total Non-Grain products,85813839,80487354,584601939,619064216
Pounds of Materials Used,Total Used,2009,7,Total Used,605935111,631914189,4188270782,4359709631
Pounds of Materials Used,Grain Products,2009,8,Malt and malt products,362521445,389410506,3024967909,3140478364
Pounds of Materials Used,Grain Products,2009,8,Corn and corn products,57684547,64953210,508678313,500320386
Pounds of Materials Used,Grain Products,2009,8,Rice and rice products,61417028,71799926,507301557,581503326
Pounds of Materials Used,Grain Products,2009,8,Barley and barley products,3789027,3778286,36920357,37183763
Pounds of Materials Used,Grain Products,2009,8,Wheat and wheat products,1298648,1588068,12511402,12689572
Pounds of Materials Used,Total Grain products,2009,8,Total Grain products,486710695,531529996,4090379538,4272175411
Pounds of Materials Used,Non-Grain Products,2009,8,Sugar and syrups,61354833,83984025,549482405,650613834
Pounds of Materials Used,Non-Grain Products,2009,8,Hops (dry),5393471,5992208,45097975,41879624
Pounds of Materials Used,Non-Grain Products,2009,8,Hops (used as extracts),322875,377424,2955536,4742617
Pounds of Materials Used,Non-Grain Products,2009,8,Other,10315854,1671801,64453056,13853599
Pounds of Materials Used,Total Non-Grain products,2009,8,Total Non-Grain products,77387033,92025458,661988972,711089674
Pounds of Materials Used,Total Used,2009,8,Total Used,564097728,623555454,4752368510,4983265085
Pounds of Materials Used,Grain Products,2009,9,Malt and malt products,370369895,363334515,3396959380,3503862422
Pounds of Materials Used,Grain Products,2009,9,Corn and corn products,54632420,59787530,557256127,560107916
Pounds of Materials Used,Grain Products,2009,9,Rice and rice products,57686245,62013175,565528750,643518905
Pounds of Materials Used,Grain Products,2009,9,Barley and barley products,8106300,8479049,45463026,45662812
Pounds of Materials Used,Grain Products,2009,9,Wheat and wheat products,1934968,1880028,14532590,14569600
Pounds of Materials Used,Total Grain products,2009,9,Total Grain products,492729828,495494297,4579739873,4767721655
Pounds of Materials Used,Non-Grain Products,2009,9,Sugar and syrups,50025197,68092555,599584438,718707826
Pounds of Materials Used,Non-Grain Products,2009,9,Hops (dry),5216389,3807149,51892616,45687282
Pounds of Materials Used,Non-Grain Products,2009,9,Hops (used as extracts),305344,338019,3264706,5081526
Pounds of Materials Used,Non-Grain Products,2009,9,Other,11250446,1732849,75834659,15586465
Pounds of Materials Used,Total Non-Grain products,2009,9,Total Non-Grain products,66797376,73970572,730576419,785063099
Pounds of Materials Used,Total Used,2009,9,Total Used,559527204,569464869,5310316292,5552784754
Pounds of Materials Used,Grain Products,2009,10,Malt and malt products,333286901,353743807,3731548182,3857595976
Pounds of Materials Used,Grain Products,2009,10,Corn and corn products,55590153,63047343,612846280,623155259
Pounds of Materials Used,Grain Products,2009,10,Rice and rice products,55167784,59408025,620696534,702926930
Pounds of Materials Used,Grain Products,2009,10,Barley and barley products,3615556,3209706,49428647,48872518
Pounds of Materials Used,Grain Products,2009,10,Wheat and wheat products,1025133,1431903,15569364,16001503
Pounds of Materials Used,Total Grain products,2009,10,Total Grain products,448685527,480840784,5030089007,5248552186
Pounds of Materials Used,Non-Grain Products,2009,10,Sugar and syrups,47840939,42888353,647426679,761596179
Pounds of Materials Used,Non-Grain Products,2009,10,Hops (dry),1326445,3775472,53227307,49463068
Pounds of Materials Used,Non-Grain Products,2009,10,Hops (used as extracts),302264,337194,3566970,5418406
Pounds of Materials Used,Non-Grain Products,2009,10,Other,8944515,1568431,84768249,17154896
Pounds of Materials Used,Total Non-Grain products,2009,10,Total Non-Grain products,58414163,48569450,788989205,833632549
Pounds of Materials Used,Total Used,2009,10,Total Used,507099690,529410234,5819078212,6082184735
Pounds of Materials Used,Grain Products,2009,11,Malt and malt products,309688888,322745041,4043461219,4180363274
Pounds of Materials Used,Grain Products,2009,11,Corn and corn products,47018983,53628776,659865353,676784555
Pounds of Materials Used,Grain Products,2009,11,Rice and rice products,50460060,54641934,671893628,757569966
Pounds of Materials Used,Grain Products,2009,11,Barley and barley products,3374449,3308406,53652072,52186914
Pounds of Materials Used,Grain Products,2009,11,Wheat and wheat products,1116613,959328,16822657,16962353
Pounds of Materials Used,Total Grain products,2009,11,Total Grain products,411658993,435283485,5445694929,5683867062
Pounds of Materials Used,Non-Grain Products,2009,11,Sugar and syrups,44926666,44057218,692382199,805653683
Pounds of Materials Used,Non-Grain Products,2009,11,Hops (dry),4442654,3898068,57737734,53361520
Pounds of Materials Used,Non-Grain Products,2009,11,Hops (used as extracts),289240,329820,3856410,5748226
Pounds of Materials Used,Non-Grain Products,2009,11,Other,9915569,1249150,94958272,18422139
Pounds of Materials Used,Total Non-Grain products,2009,11,Total Non-Grain products,59574129,49534256,848934615,883185568
Pounds of Materials Used,Total Used,2009,11,Total Used,471233122,484817741,6294629544,6567052630
Pounds of Materials Used,Grain Products,2009,12,Malt and malt products,302237874,320419845,4345699093,4500783119
Pounds of Materials Used,Grain Products,2009,12,Corn and corn products,45851254,49920086,705716607,726704641
Pounds of Materials Used,Grain Products,2009,12,Rice and rice products,51919861,62442510,723813489,820016177
Pounds of Materials Used,Grain Products,2009,12,Barley and barley products,7271474,6402978,60923546,58589892
Pounds of Materials Used,Grain Products,2009,12,Wheat and wheat products,1851868,1425858,18674525,18388211
Pounds of Materials Used,Total Grain products,2009,12,Total Grain products,409132331,440611277,5854827260,6124482040
Pounds of Materials Used,Non-Grain Products,2009,12,Sugar and syrups,39077880,39033948,731460079,844687631
Pounds of Materials Used,Non-Grain Products,2009,12,Hops (dry),3887961,1616474,61625695,54977994
Pounds of Materials Used,Non-Grain Products,2009,12,Hops (used as extracts),260877,272970,4117287,6021196
Pounds of Materials Used,Non-Grain Products,2009,12,Other,8051559,1663664,103009831,20085803
Pounds of Materials Used,Total Non-Grain products,2009,12,Total Non-Grain products,51278277,42587056,900212892,925772624
Pounds of Materials Used,Total Used,2009,12,Total Used,460410608,483198333,6755040152,7050254664
Pounds of Materials Used,Grain Products,2010,1,Malt and malt products,330304432,361377478,330304432,361377478
Pounds of Materials Used,Grain Products,2010,1,Corn and corn products,56705162,63115693,56705162,63115693
Pounds of Materials Used,Grain Products,2010,1,Rice and rice products,59701345,59961083,59701345,59961083
Pounds of Materials Used,Grain Products,2010,1,Barley and barley products,3668374,2169601,3668374,2169601
Pounds of Materials Used,Grain Products,2010,1,Wheat and wheat products,1409685,873714,1409685,873714
Pounds of Materials Used,Total Grain products,2010,1,Total Grain products,451788998,487497569,451788998,487497569
Pounds of Materials Used,Non-Grain Products,2010,1,Sugar and syrups,47308358,67834569,47308358,67834569
Pounds of Materials Used,Non-Grain Products,2010,1,Hops (dry),4765924,1461121,4765924,1461121
Pounds of Materials Used,Non-Grain Products,2010,1,Hops (used as extracts),271405,324497,271405,324497
Pounds of Materials Used,Non-Grain Products,2010,1,Other,10537742,1424001,10537742,1424001
Pounds of Materials Used,Total Non-Grain products,2010,1,Total Non-Grain products,62883429,71044188,62883429,71044188
Pounds of Materials Used,Total Used,2010,1,Total Used,514672427,558541757,514672427,558541757
Pounds of Materials Used,Grain Products,2010,2,Malt and malt products,305543380,339472713,635898552,700856291
Pounds of Materials Used,Grain Products,2010,2,Corn and corn products,54486996,60966715,111192158,124082408
Pounds of Materials Used,Grain Products,2010,2,Rice and rice products,55198940,60150183,114900285,120111266
Pounds of Materials Used,Grain Products,2010,2,Barley and barley products,3726630,3334476,7395772,5504077
Pounds of Materials Used,Grain Products,2010,2,Wheat and wheat products,1683401,1142813,3097736,2016527
Pounds of Materials Used,Total Grain products,2010,2,Total Grain products,420639347,465066900,872484503,952570569
Pounds of Materials Used,Non-Grain Products,2010,2,Sugar and syrups,46718854,69375203,94027212,137209772
Pounds of Materials Used,Non-Grain Products,2010,2,Hops (dry),4899463,4601598,9666186,6062839
Pounds of Materials Used,Non-Grain Products,2010,2,Hops (used as extracts),268589,345975,539994,670472
Pounds of Materials Used,Non-Grain Products,2010,2,Other,9022834,939857,19560576,2363858
Pounds of Materials Used,Total Non-Grain products,2010,2,Total Non-Grain products,60909740,75262633,123793968,146306941
Pounds of Materials Used,Total Used,2010,2,Total Used,481549087,540329533,996278471,1098877510
Pounds of Materials Used,Grain Products,2010,3,Malt and malt products,366733254,380133298,1002631806,1080736584
Pounds of Materials Used,Grain Products,2010,3,Corn and corn products,60991969,66543131,172184127,190625839
Pounds of Materials Used,Grain Products,2010,3,Rice and rice products,59991160,64006735,174893727,184963333
Pounds of Materials Used,Grain Products,2010,3,Barley and barley products,10220654,7094005,18078778,13145280
Pounds of Materials Used,Grain Products,2010,3,Wheat and wheat products,2762670,2175247,5938978,4210721
Pounds of Materials Used,Total Grain products,2010,3,Total Grain products,500699707,519952416,1373727416,1473681757
Pounds of Materials Used,Non-Grain Products,2010,3,Sugar and syrups,61007512,70030415,155034724,207294067
Pounds of Materials Used,Non-Grain Products,2010,3,Hops (dry),7932387,6787391,17604871,12853191
Pounds of Materials Used,Non-Grain Products,2010,3,Hops (used as extracts),320406,382897,860400,1053577
Pounds of Materials Used,Non-Grain Products,2010,3,Other,11678127,6604657,31238829,8974660
Pounds of Materials Used,Total Non-Grain products,2010,3,Total Non-Grain products,80938432,83805360,204738824,230175495
Pounds of Materials Used,Total Used,2010,3,Total Used,581638139,603757776,1578466240,1703857252
Pounds of Materials Used,Grain Products,2010,4,Malt and malt products,374018118,384396702,1376649924,1465133286
Pounds of Materials Used,Grain Products,2010,4,Corn and corn products,61273430,67266636,233457557,257892475
Pounds of Materials Used,Grain Products,2010,4,Rice and rice products,59803024,63166930,234696751,248130263
Pounds of Materials Used,Grain Products,2010,4,Barley and barley products,5030962,3349556,23109740,16494836
Pounds of Materials Used,Grain Products,2010,4,Wheat and wheat products,2247616,1569606,8186594,5780327
Pounds of Materials Used,Total Grain products,2010,4,Total Grain products,502373150,519749430,1876100566,1993431187
Pounds of Materials Used,Non-Grain Products,2010,4,Sugar and syrups,73040421,71341108,228075145,278635175
Pounds of Materials Used,Non-Grain Products,2010,4,Hops (dry),8240399,5574889,25845270,18428080
Pounds of Materials Used,Non-Grain Products,2010,4,Hops (used as extracts),456519,388369,1316919,1441946
Pounds of Materials Used,Non-Grain Products,2010,4,Other,11213037,6169478,42451866,15144138
Pounds of Materials Used,Total Non-Grain products,2010,4,Total Non-Grain products,92950376,83473844,297689200,313649339
Pounds of Materials Used,Total Used,2010,4,Total Used,595323526,603223274,2173789766,2307080526
Pounds of Materials Used,Grain Products,2010,5,Malt and malt products,399504457,391469434,1776283019,1856668052
Pounds of Materials Used,Grain Products,2010,5,Corn and corn products,62684555,62481084,296142112,320373559
Pounds of Materials Used,Grain Products,2010,5,Rice and rice products,69284131,67120251,303980882,315250514
Pounds of Materials Used,Grain Products,2010,5,Barley and barley products,4903020,3684818,28012760,20180000
Pounds of Materials Used,Grain Products,2010,5,Wheat and wheat products,2264521,1712205,10455915,7492532
Pounds of Materials Used,Total Grain products,2010,5,Total Grain products,538640684,526467792,2414874688,2519964657
Pounds of Materials Used,Non-Grain Products,2010,5,Sugar and syrups,76115769,75011893,304191444,353647068
Pounds of Materials Used,Non-Grain Products,2010,5,Hops (dry),9080801,7051829,34927873,25480154
Pounds of Materials Used,Non-Grain Products,2010,5,Hops (used as extracts),396737,450264,1713656,1892210
Pounds of Materials Used,Non-Grain Products,2010,5,Other,11525375,6915331,53977391,22059123
Pounds of Materials Used,Total Non-Grain products,2010,5,Total Non-Grain products,97118682,89429317,394810364,403078555
Pounds of Materials Used,Total Used,2010,5,Total Used,635759366,615897109,2809685052,2923043212
Pounds of Materials Used,Grain Products,2010,6,Malt and malt products,380521275,381247341,2156804294,2242117420
Pounds of Materials Used,Grain Products,2010,6,Corn and corn products,60811086,62107546,356953198,382481467
Pounds of Materials Used,Grain Products,2010,6,Rice and rice products,66627541,64576127,370610846,381522344
Pounds of Materials Used,Grain Products,2010,6,Barley and barley products,11280602,8146509,39293362,28472349
Pounds of Materials Used,Grain Products,2010,6,Wheat and wheat products,2896874,1966215,13352789,9545902
Pounds of Materials Used,Total Grain products,2010,6,Total Grain products,522137378,518043738,2937014489,3044139482
Pounds of Materials Used,Non-Grain Products,2010,6,Sugar and syrups,67266337,69563483,371457781,423322455
Pounds of Materials Used,Non-Grain Products,2010,6,Hops (dry),10418215,6854083,45346088,32359017
Pounds of Materials Used,Non-Grain Products,2010,6,Hops (used as extracts),355258,381321,2068914,2273531
Pounds of Materials Used,Non-Grain Products,2010,6,Other,12877498,6216613,66854889,28284401
Pounds of Materials Used,Total Non-Grain products,2010,6,Total Non-Grain products,90917308,83015500,485727672,486239404
Pounds of Materials Used,Total Used,2010,6,Total Used,613054686,601059238,3422742161,3530378886
