data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2010,7,Malt and malt products,384726834,382672919,2541632782,2662446464
Pounds of Materials Used,Grain Products,2010,7,Corn and corn products,58694301,68510353,415647499,450993766
Pounds of Materials Used,Grain Products,2010,7,Rice and rice products,68031711,63277242,438778557,445884529
Pounds of Materials Used,Grain Products,2010,7,Barley and barley products,5224206,4185235,44518051,33131330
Pounds of Materials Used,Grain Products,2010,7,Wheat and wheat products,1628102,1475523,14982132,11212754
Pounds of Materials Used,Total Grain products,2010,7,Total Grain products,518305154,520121272,3455559021,3603668843
Pounds of Materials Used,Non-Grain Products,2010,7,Sugar and syrups,76584550,64776817,448042331,488127572
Pounds of Materials Used,Non-Grain Products,2010,7,Hops (dry),8297261,7309199,53664131,39704504
Pounds of Materials Used,Non-Grain Products,2010,7,Hops (used as extracts),369505,359130,2438419,2632661
Pounds of Materials Used,Non-Grain Products,2010,7,Other,13378852,13368693,80233741,54137202
Pounds of Materials Used,Total Non-Grain products,2010,7,Total Non-Grain products,98630168,85813839,584378622,584601939
Pounds of Materials Used,Total Used,2010,7,Total Used,616935322,605935111,4039937643,4188270782
Pounds of Materials Used,Grain Products,2010,8,Malt and malt products,358726926,362521445,2900309187,3024967909
Pounds of Materials Used,Grain Products,2010,8,Corn and corn products,60424525,57684547,476073574,508678313
Pounds of Materials Used,Grain Products,2010,8,Rice and rice products,63192375,61417028,501970932,507301557
Pounds of Materials Used,Grain Products,2010,8,Barley and barley products,5276045,3789027,49971697,36920357
Pounds of Materials Used,Grain Products,2010,8,Wheat and wheat products,1379102,1298648,16376834,12511402
Pounds of Materials Used,Total Grain products,2010,8,Total Grain products,488998973,486710695,3944702224,4090379538
Pounds of Materials Used,Non-Grain Products,2010,8,Sugar and syrups,75815015,61354833,523858114,549482405
Pounds of Materials Used,Non-Grain Products,2010,8,Hops (dry),7272871,5393471,60938386,45097975
Pounds of Materials Used,Non-Grain Products,2010,8,Hops (used as extracts),718808,322875,3157284,2955536
Pounds of Materials Used,Non-Grain Products,2010,8,Other,9572674,10315854,89808240,64453056
Pounds of Materials Used,Total Non-Grain products,2010,8,Total Non-Grain products,93379368,77387033,677762024,661988972
Pounds of Materials Used,Total Used,2010,8,Total Used,582378341,564097728,4622464248,4752368510
Pounds of Materials Used,Grain Products,2010,9,Malt and malt products,329671455,370369895,3230062247,3396959380
Pounds of Materials Used,Grain Products,2010,9,Corn and corn products,77399155,54632420,553472829,557256127
Pounds of Materials Used,Grain Products,2010,9,Rice and rice products,54884345,57686245,556857888,565528750
Pounds of Materials Used,Grain Products,2010,9,Barley and barley products,14107767,8106300,64085240,45463026
Pounds of Materials Used,Grain Products,2010,9,Wheat and wheat products,2150923,1934968,18530387,14532590
Pounds of Materials Used,Total Grain products,2010,9,Total Grain products,478213645,492729828,4423008591,4579739873
Pounds of Materials Used,Non-Grain Products,2010,9,Sugar and syrups,69053125,50025197,592912039,599584438
Pounds of Materials Used,Non-Grain Products,2010,9,Hops (dry),6437916,5216389,67378784,51892616
Pounds of Materials Used,Non-Grain Products,2010,9,Hops (used as extracts),300116,305344,3457400,3264706
Pounds of Materials Used,Non-Grain Products,2010,9,Other,9180751,11250446,98989156,75834659
Pounds of Materials Used,Total Non-Grain products,2010,9,Total Non-Grain products,84971908,66797376,762737379,730576419
Pounds of Materials Used,Total Used,2010,9,Total Used,563185553,559527204,5185745970,5310316292
Pounds of Materials Used,Grain Products,2010,10,Malt and malt products,333230020,333286901,3563292267,3731548182
Pounds of Materials Used,Grain Products,2010,10,Corn and corn products,51427974,55590153,604900803,612846280
Pounds of Materials Used,Grain Products,2010,10,Rice and rice products,55450803,55167784,612308691,620696534
Pounds of Materials Used,Grain Products,2010,10,Barley and barley products,6203762,3615556,70289002,49428647
Pounds of Materials Used,Grain Products,2010,10,Wheat and wheat products,1053279,1025133,19583666,15569364
Pounds of Materials Used,Total Grain products,2010,10,Total Grain products,447365838,448685527,4870374429,5030089007
Pounds of Materials Used,Non-Grain Products,2010,10,Sugar and syrups,67265699,47840939,660177738,647426679
Pounds of Materials Used,Non-Grain Products,2010,10,Hops (dry),9244763,1326445,76623547,53227307
Pounds of Materials Used,Non-Grain Products,2010,10,Hops (used as extracts),293914,302264,3751314,3566970
Pounds of Materials Used,Non-Grain Products,2010,10,Other,8888902,8944515,107878058,84768249
Pounds of Materials Used,Total Non-Grain products,2010,10,Total Non-Grain products,85693278,58414163,848430657,788989205
Pounds of Materials Used,Total Used,2010,10,Total Used,533059116,507099690,5718805086,5819078212
Pounds of Materials Used,Grain Products,2010,11,Malt and malt products,298251207,309688888,3861508317,4043461219
Pounds of Materials Used,Grain Products,2010,11,Corn and corn products,47348859,47018983,652254266,659865353
Pounds of Materials Used,Grain Products,2010,11,Rice and rice products,53779401,50460060,666087792,671893628
Pounds of Materials Used,Grain Products,2010,11,Barley and barley products,5235825,3374449,75533654,53652072
Pounds of Materials Used,Grain Products,2010,11,Wheat and wheat products,1097679,1116613,20682123,16822657
Pounds of Materials Used,Total Grain products,2010,11,Total Grain products,405712971,411658993,5276066152,5445694929
Pounds of Materials Used,Non-Grain Products,2010,11,Sugar and syrups,59184495,44926666,719362563,692382199
Pounds of Materials Used,Non-Grain Products,2010,11,Hops (dry),7727370,4442654,84351150,57737734
Pounds of Materials Used,Non-Grain Products,2010,11,Hops (used as extracts),281893,289240,4033338,3856410
Pounds of Materials Used,Non-Grain Products,2010,11,Other,9117383,9915569,116995511,94958272
Pounds of Materials Used,Total Non-Grain products,2010,11,Total Non-Grain products,76311141,59574129,924742562,848934615
Pounds of Materials Used,Total Used,2010,11,Total Used,482024112,471233122,6200808714,6294629544
Pounds of Materials Used,Grain Products,2010,12,Malt and malt products,285382073,302237874,4147040380,4345699093
Pounds of Materials Used,Grain Products,2010,12,Corn and corn products,48503335,45851254,700757601,705716607
Pounds of Materials Used,Grain Products,2010,12,Rice and rice products,47504543,51919861,713595821,723813489
Pounds of Materials Used,Grain Products,2010,12,Barley and barley products,12815197,7271474,88354008,60923546
Pounds of Materials Used,Grain Products,2010,12,Wheat and wheat products,1588739,1851868,22279062,18674525
Pounds of Materials Used,Total Grain products,2010,12,Total Grain products,395793887,409132331,5672026872,5854827260
Pounds of Materials Used,Non-Grain Products,2010,12,Sugar and syrups,49709103,39077880,769088843,731460079
Pounds of Materials Used,Non-Grain Products,2010,12,Hops (dry),6540100,3887961,90902672,61625695
Pounds of Materials Used,Non-Grain Products,2010,12,Hops (used as extracts),255382,260877,4288750,4117287
Pounds of Materials Used,Non-Grain Products,2010,12,Other,8217736,8051559,125562163,103009831
Pounds of Materials Used,Total Non-Grain products,2010,12,Total Non-Grain products,64722321,51278277,989842428,900212892
Pounds of Materials Used,Total Used,2010,12,Total Used,460516208,460410608,6661869300,6755040152
Pounds of Materials Used,Grain Products,2011,1,Malt and malt products,322480722,330304432,322480722,330304432
Pounds of Materials Used,Grain Products,2011,1,Corn and corn products,58632672,56705162,58632672,56705162
Pounds of Materials Used,Grain Products,2011,1,Rice and rice products,108112318,59701345,108112318,59701345
Pounds of Materials Used,Grain Products,2011,1,Barley and barley products,4705175,3668374,4705175,3668374
Pounds of Materials Used,Grain Products,2011,1,Wheat and wheat products,1210137,1409685,1210137,1409685
Pounds of Materials Used,Total Grain products,2011,1,Total Grain products,495141024,451788998,495141024,451788998
Pounds of Materials Used,Non-Grain Products,2011,1,Sugar and syrups,73793509,47308358,73793509,47308358
Pounds of Materials Used,Non-Grain Products,2011,1,Hops (dry),6059066,4765924,6059066,4765924
Pounds of Materials Used,Non-Grain Products,2011,1,Hops (used as extracts),296605,271405,296605,271405
Pounds of Materials Used,Non-Grain Products,2011,1,Other,7972930,10537742,7972930,10537742
Pounds of Materials Used,Total Non-Grain products,2011,1,Total Non-Grain products,88122110,62883429,88122110,62883429
Pounds of Materials Used,Total Used,2011,1,Total Used,583263134,514672427,583263134,514672427
Pounds of Materials Used,Grain Products,2011,2,Malt and malt products,307076591,305543380,629878499,635898552
Pounds of Materials Used,Grain Products,2011,2,Corn and corn products,53981943,54486996,112614617,111192158
Pounds of Materials Used,Grain Products,2011,2,Rice and rice products,54287863,55198940,162857353,114900285
Pounds of Materials Used,Grain Products,2011,2,Barley and barley products,4322047,3726630,9037725,7395772
Pounds of Materials Used,Grain Products,2011,2,Wheat and wheat products,955671,1683401,2166958,3097736
Pounds of Materials Used,Total Grain products,2011,2,Total Grain products,420624115,420639347,916555152,872484503
Pounds of Materials Used,Non-Grain Products,2011,2,Sugar and syrups,63374850,46718854,137168398,94027212
Pounds of Materials Used,Non-Grain Products,2011,2,Hops (dry),7617974,4899463,13680934,9666186
Pounds of Materials Used,Non-Grain Products,2011,2,Hops (used as extracts),275963,268589,572584,539994
Pounds of Materials Used,Non-Grain Products,2011,2,Other,7997916,9022834,15971404,19560576
Pounds of Materials Used,Total Non-Grain products,2011,2,Total Non-Grain products,79266703,60909740,167393320,123793968
Pounds of Materials Used,Total Used,2011,2,Total Used,499890818,481549087,1083948472,996278471
Pounds of Materials Used,Grain Products,2011,3,Malt and malt products,363234183,366733254,993661998,1002631806
Pounds of Materials Used,Grain Products,2011,3,Corn and corn products,61094976,60991969,173729653,172184127
Pounds of Materials Used,Grain Products,2011,3,Rice and rice products,62041512,59991160,224908567,174893727
Pounds of Materials Used,Grain Products,2011,3,Barley and barley products,11614373,10220654,20780427,18078778
Pounds of Materials Used,Grain Products,2011,3,Wheat and wheat products,5019351,2762670,7187604,5938978
Pounds of Materials Used,Total Grain products,2011,3,Total Grain products,503004395,500699707,1420268249,1373727416
Pounds of Materials Used,Non-Grain Products,2011,3,Sugar and syrups,74925793,61007512,212105554,155034724
Pounds of Materials Used,Non-Grain Products,2011,3,Hops (dry),10736471,7932387,24423226,17604871
Pounds of Materials Used,Non-Grain Products,2011,3,Hops (used as extracts),350949,320406,923533,860400
Pounds of Materials Used,Non-Grain Products,2011,3,Other,10489641,11678127,26481471,31238829
Pounds of Materials Used,Total Non-Grain products,2011,3,Total Non-Grain products,96502854,80938432,263933784,204738824
Pounds of Materials Used,Total Used,2011,3,Total Used,599507249,581638139,1684202033,1578466240
Pounds of Materials Used,Grain Products,2011,4,Malt and malt products,349781343,374018118,1343443341,1376649924
Pounds of Materials Used,Grain Products,2011,4,Corn and corn products,58628353,61273430,232358006,233457557
Pounds of Materials Used,Grain Products,2011,4,Rice and rice products,53392697,59803024,278301264,234696751
Pounds of Materials Used,Grain Products,2011,4,Barley and barley products,4768751,5030962,25549178,23109740
Pounds of Materials Used,Grain Products,2011,4,Wheat and wheat products,1816659,2247616,9004263,8186594
Pounds of Materials Used,Total Grain products,2011,4,Total Grain products,468387803,502373150,1888656052,1876100566
Pounds of Materials Used,Non-Grain Products,2011,4,Sugar and syrups,68297327,73040421,280402881,228075145
Pounds of Materials Used,Non-Grain Products,2011,4,Hops (dry),9942341,8240399,34365567,25845270
Pounds of Materials Used,Non-Grain Products,2011,4,Hops (used as extracts),330339,456519,1253872,1316919
Pounds of Materials Used,Non-Grain Products,2011,4,Other,10127397,11213037,36608868,42451866
Pounds of Materials Used,Total Non-Grain products,2011,4,Total Non-Grain products,88697404,92950376,352631188,297689200
Pounds of Materials Used,Total Used,2011,4,Total Used,557085207,595323526,2241287240,2173789766
Pounds of Materials Used,Grain Products,2011,5,Malt and malt products,352623620,399504457,1697746189,1776283019
Pounds of Materials Used,Grain Products,2011,5,Corn and corn products,50573951,62684555,282931982,296142112
Pounds of Materials Used,Grain Products,2011,5,Rice and rice products,62118962,69284131,340420276,303980882
Pounds of Materials Used,Grain Products,2011,5,Barley and barley products,5564462,4903020,31323312,28012760
Pounds of Materials Used,Grain Products,2011,5,Wheat and wheat products,1721632,2264521,10756446,10455915
Pounds of Materials Used,Total Grain products,2011,5,Total Grain products,472602627,538640684,2363178205,2414874688
Pounds of Materials Used,Non-Grain Products,2011,5,Sugar and syrups,66314234,76115769,346726296,304191444
Pounds of Materials Used,Non-Grain Products,2011,5,Hops (dry),10076039,9080801,44467742,34927873
Pounds of Materials Used,Non-Grain Products,2011,5,Hops (used as extracts),438895,396737,1699181,1713656
Pounds of Materials Used,Non-Grain Products,2011,5,Other,10565868,11525375,47297694,53977391
Pounds of Materials Used,Total Non-Grain products,2011,5,Total Non-Grain products,87395036,97118682,440190913,394810364
Pounds of Materials Used,Total Used,2011,5,Total Used,559997663,635759366,2803369118,2809685052
Pounds of Materials Used,Grain Products,2011,6,Malt and malt products,372541998,380521275,2071295858,2156804294
Pounds of Materials Used,Grain Products,2011,6,Corn and corn products,49399750,60811086,332332032,356953198
Pounds of Materials Used,Grain Products,2011,6,Rice and rice products,69701464,66627541,410453892,370610846
Pounds of Materials Used,Grain Products,2011,6,Barley and barley products,10363329,11280602,42085597,39293362
Pounds of Materials Used,Grain Products,2011,6,Wheat and wheat products,2305971,2896874,13092158,13352789
Pounds of Materials Used,Total Grain products,2011,6,Total Grain products,504312512,522137378,2869259537,2937014489
Pounds of Materials Used,Non-Grain Products,2011,6,Sugar and syrups,67178952,67266337,413899400,371457781
Pounds of Materials Used,Non-Grain Products,2011,6,Hops (dry),10603566,10418215,55168523,45346088
Pounds of Materials Used,Non-Grain Products,2011,6,Hops (used as extracts),338467,355258,2038458,2068914
Pounds of Materials Used,Non-Grain Products,2011,6,Other,11982901,12877498,59314575,66854889
Pounds of Materials Used,Total Non-Grain products,2011,6,Total Non-Grain products,90103886,90917308,530420956,485727672
Pounds of Materials Used,Total Used,2011,6,Total Used,594416398,613054686,3399680493,3422742161
Pounds of Materials Used,Grain Products,2011,7,Malt and malt products,350751002,384726834,2424169705,2541632782
Pounds of Materials Used,Grain Products,2011,7,Corn and corn products,47864835,58694301,380216079,415647499
Pounds of Materials Used,Grain Products,2011,7,Rice and rice products,69787950,68031711,480241892,438778557
Pounds of Materials Used,Grain Products,2011,7,Barley and barley products,6014579,5224206,50818308,44518051
Pounds of Materials Used,Grain Products,2011,7,Wheat and wheat products,1523087,1628102,14720613,14982132
Pounds of Materials Used,Total Grain products,2011,7,Total Grain products,475941453,518305154,3350166597,3455559021
Pounds of Materials Used,Non-Grain Products,2011,7,Sugar and syrups,62190400,76584550,476106844,448042331
Pounds of Materials Used,Non-Grain Products,2011,7,Hops (dry),9514024,8297261,64788024,53664131
Pounds of Materials Used,Non-Grain Products,2011,7,Hops (used as extracts),333313,369505,2372160,2438419
Pounds of Materials Used,Non-Grain Products,2011,7,Other,9659056,13378852,69709603,80233741
Pounds of Materials Used,Total Non-Grain products,2011,7,Total Non-Grain products,81696793,98630168,612976631,584378622
Pounds of Materials Used,Total Used,2011,7,Total Used,557638246,616935322,3963143228,4039937643
Pounds of Materials Used,Grain Products,2011,8,Malt and malt products,361924350,358726926,2787085795,2900309187
Pounds of Materials Used,Grain Products,2011,8,Corn and corn products,49085339,60424525,429301155,476073574
Pounds of Materials Used,Grain Products,2011,8,Rice and rice products,72428017,63192375,552680384,501970932
Pounds of Materials Used,Grain Products,2011,8,Barley and barley products,6775228,5276045,58323557,49971697
Pounds of Materials Used,Grain Products,2011,8,Wheat and wheat products,1749667,1379102,16528285,16376834
Pounds of Materials Used,Total Grain products,2011,8,Total Grain products,491962601,488998973,3843919176,3944702224
Pounds of Materials Used,Non-Grain Products,2011,8,Sugar and syrups,60003874,75815015,536119262,523858114
Pounds of Materials Used,Non-Grain Products,2011,8,Hops (dry),7575266,7272871,72380105,60938386
Pounds of Materials Used,Non-Grain Products,2011,8,Hops (used as extracts),324190,718808,2696353,3157284
Pounds of Materials Used,Non-Grain Products,2011,8,Other,9175477,9572674,79042512,89808240
Pounds of Materials Used,Total Non-Grain products,2011,8,Total Non-Grain products,77078807,93379368,690238232,677762024
Pounds of Materials Used,Total Used,2011,8,Total Used,569041408,582378341,4534157408,4622464248
Pounds of Materials Used,Grain Products,2011,9,Malt and malt products,312845217,329671455,3107159382,3230062247
Pounds of Materials Used,Grain Products,2011,9,Corn and corn products,47180399,77399155,476614073,553472829
Pounds of Materials Used,Grain Products,2011,9,Rice and rice products,55188865,54884345,607871709,556857888
Pounds of Materials Used,Grain Products,2011,9,Barley and barley products,32343039,14107767,92330824,64085240
Pounds of Materials Used,Grain Products,2011,9,Wheat and wheat products,2260859,2150923,18963972,18530387
Pounds of Materials Used,Total Grain products,2011,9,Total Grain products,449818379,478213645,4302939960,4423008591
Pounds of Materials Used,Non-Grain Products,2011,9,Sugar and syrups,61317581,69053125,598050404,592912039
Pounds of Materials Used,Non-Grain Products,2011,9,Hops (dry),7462299,6437916,79901872,67378784
Pounds of Materials Used,Non-Grain Products,2011,9,Hops (used as extracts),298977,300116,2995436,3457400
Pounds of Materials Used,Non-Grain Products,2011,9,Other,10334415,9180751,90288463,98989156
Pounds of Materials Used,Total Non-Grain products,2011,9,Total Non-Grain products,79413272,84971908,771236175,762737379
Pounds of Materials Used,Total Used,2011,9,Total Used,529231651,563185553,5074176135,5185745970
Pounds of Materials Used,Grain Products,2011,10,Malt and malt products,313380880,333230020,3420540262,3563292267
Pounds of Materials Used,Grain Products,2011,10,Corn and corn products,48090884,51427974,524704957,604900803
Pounds of Materials Used,Grain Products,2011,10,Rice and rice products,50132872,55450803,658004581,612308691
Pounds of Materials Used,Grain Products,2011,10,Barley and barley products,6773403,6203762,99104227,70289002
Pounds of Materials Used,Grain Products,2011,10,Wheat and wheat products,1555618,1053279,20519590,19583666
Pounds of Materials Used,Total Grain products,2011,10,Total Grain products,419933657,447365838,4722873617,4870374429
Pounds of Materials Used,Non-Grain Products,2011,10,Sugar and syrups,65478836,67265699,663529240,660177738
Pounds of Materials Used,Non-Grain Products,2011,10,Hops (dry),7238838,9244763,87140710,76623547
Pounds of Materials Used,Non-Grain Products,2011,10,Hops (used as extracts),306588,293914,3302024,3751314
Pounds of Materials Used,Non-Grain Products,2011,10,Other,9544745,8888902,99833208,107878058
Pounds of Materials Used,Total Non-Grain products,2011,10,Total Non-Grain products,82569007,85693278,853805182,848430657
Pounds of Materials Used,Total Used,2011,10,Total Used,502502664,533059116,5576678799,5718805086
Pounds of Materials Used,Grain Products,2011,11,Malt and malt products,303152329,298251207,3725087716,3861508317
Pounds of Materials Used,Grain Products,2011,11,Corn and corn products,53879230,47348859,578634062,652254266
Pounds of Materials Used,Grain Products,2011,11,Rice and rice products,43496310,53779401,701501477,666087792
Pounds of Materials Used,Grain Products,2011,11,Barley and barley products,5909830,5235825,110447469,75533654
Pounds of Materials Used,Grain Products,2011,11,Wheat and wheat products,1297888,1097679,22221291,20682123
Pounds of Materials Used,Total Grain products,2011,11,Total Grain products,407735587,405712971,5137892015,5276066152
Pounds of Materials Used,Non-Grain Products,2011,11,Sugar and syrups,55627592,59184495,719192663,719362563
Pounds of Materials Used,Non-Grain Products,2011,11,Hops (dry),8455615,7727370,95677718,84351150
Pounds of Materials Used,Non-Grain Products,2011,11,Hops (used as extracts),290356,281893,3592971,4033338
Pounds of Materials Used,Non-Grain Products,2011,11,Other,8504780,9117383,108413304,116995511
Pounds of Materials Used,Total Non-Grain products,2011,11,Total Non-Grain products,72878343,76311141,926876656,924742562
Pounds of Materials Used,Total Used,2011,11,Total Used,480613930,482024112,6064768671,6200808714
Pounds of Materials Used,Grain Products,2011,12,Malt and malt products,293640890,285382073,4021632730,4147040380
Pounds of Materials Used,Grain Products,2011,12,Corn and corn products,50507994,48503335,629143328,700757601
Pounds of Materials Used,Grain Products,2011,12,Rice and rice products,46841203,47504543,748353836,713595821
Pounds of Materials Used,Grain Products,2011,12,Barley and barley products,11793946,12815197,123144856,88354008
Pounds of Materials Used,Grain Products,2011,12,Wheat and wheat products,1612682,1588739,23849805,22279062
Pounds of Materials Used,Total Grain products,2011,12,Total Grain products,404396715,395793887,5546124555,5672026872
Pounds of Materials Used,Non-Grain Products,2011,12,Sugar and syrups,52413557,49709103,771622081,769088843
Pounds of Materials Used,Non-Grain Products,2011,12,Hops (dry),11606511,6540100,107566361,90902672
Pounds of Materials Used,Non-Grain Products,2011,12,Hops (used as extracts),238892,255382,3831826,4288750
Pounds of Materials Used,Non-Grain Products,2011,12,Other,8090886,8217736,116335663,125562163
Pounds of Materials Used,Total Non-Grain products,2011,12,Total Non-Grain products,72349846,64722321,999355931,989842428
Pounds of Materials Used,Total Used,2011,12,Total Used,476746561,460516208,6545480486,6661869300
