data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2012,1,Malt and malt products,315214803,323332497,315214803,323332497
Pounds of Materials Used,Grain Products,2012,1,Corn and corn products,61859978,58875604,61859978,58875604
Pounds of Materials Used,Grain Products,2012,1,Rice and rice products,63568058,108570592,63568058,108570592
Pounds of Materials Used,Grain Products,2012,1,Barley and barley products,5391781,5265988,5391781,5265988
Pounds of Materials Used,Grain Products,2012,1,Wheat and wheat products,1319508,1232206,1319508,1232206
Pounds of Materials Used,Total Grain products,2012,1,Total Grain products,447354128,497276887,447354128,497276887
Pounds of Materials Used,Non-Grain Products,2012,1,Sugar and syrups,62988309,73785535,62988309,73785535
Pounds of Materials Used,Non-Grain Products,2012,1,Hops (dry),9562820,6073312,9562820,6073312
Pounds of Materials Used,Non-Grain Products,2012,1,Hops (used as extracts),293488,296621,293488,296621
Pounds of Materials Used,Non-Grain Products,2012,1,Other,8994300,8177092,8994300,8177092
Pounds of Materials Used,Total Non-Grain products,2012,1,Total Non-Grain products,81838917,88332560,81838917,88332560
Pounds of Materials Used,Total Used,2012,1,Total Used,529193045,585609447,529193045,585609447
Pounds of Materials Used,Grain Products,2012,2,Malt and malt products,320430694,307475210,636820934,630807707
Pounds of Materials Used,Grain Products,2012,2,Corn and corn products,62631394,54002003,124491372,112877607
Pounds of Materials Used,Grain Products,2012,2,Rice and rice products,54333308,54297565,117901366,162868157
Pounds of Materials Used,Grain Products,2012,2,Barley and barley products,5493934,4869495,10926305,10155113
Pounds of Materials Used,Grain Products,2012,2,Wheat and wheat products,1358318,998978,2680046,2231289
Pounds of Materials Used,Total Grain products,2012,2,Total Grain products,444247648,421643251,892820023,918939873
Pounds of Materials Used,Non-Grain Products,2012,2,Sugar and syrups,65344809,63397161,128336218,137182696
Pounds of Materials Used,Non-Grain Products,2012,2,Hops (dry),1366949,7629811,10951851,13703338
Pounds of Materials Used,Non-Grain Products,2012,2,Hops (used as extracts),361152,275916,654640,572537
Pounds of Materials Used,Non-Grain Products,2012,2,Other,7134068,8143346,16235753,16320438
Pounds of Materials Used,Total Non-Grain products,2012,2,Total Non-Grain products,74206978,79446234,156178462,167779009
Pounds of Materials Used,Total Used,2012,2,Total Used,518454626,501089485,1048998485,1086718882
Pounds of Materials Used,Grain Products,2012,3,Malt and malt products,366122047,365470822,1009578654,996278529
Pounds of Materials Used,Grain Products,2012,3,Corn and corn products,62376094,60979980,186867466,173857587
Pounds of Materials Used,Grain Products,2012,3,Rice and rice products,59022797,62043120,176982238,224914647
Pounds of Materials Used,Grain Products,2012,3,Barley and barley products,15647530,13007288,27337434,23162401
Pounds of Materials Used,Grain Products,2012,3,Wheat and wheat products,2817135,5156353,5551157,7387642
Pounds of Materials Used,Total Grain products,2012,3,Total Grain products,505985603,506657563,1406316949,1425600806
Pounds of Materials Used,Non-Grain Products,2012,3,Sugar and syrups,79859286,75535061,208502522,212717757
Pounds of Materials Used,Non-Grain Products,2012,3,Hops (dry),10288665,10797329,21369040,24500667
Pounds of Materials Used,Non-Grain Products,2012,3,Hops (used as extracts),335010,358304,990107,930841
Pounds of Materials Used,Non-Grain Products,2012,3,Other,11713920,10781726,28047171,27102164
Pounds of Materials Used,Total Non-Grain products,2012,3,Total Non-Grain products,102196881,97472420,258908840,265251429
Pounds of Materials Used,Total Used,2012,3,Total Used,608182484,604129983,1665225789,1690852235
Pounds of Materials Used,Grain Products,2012,4,Malt and malt products,357106000,350632291,1371811277,1347043418
Pounds of Materials Used,Grain Products,2012,4,Corn and corn products,61313630,58634343,248184524,232491930
Pounds of Materials Used,Grain Products,2012,4,Rice and rice products,57264320,53392697,234475024,278307344
Pounds of Materials Used,Grain Products,2012,4,Barley and barley products,7634002,6176978,35997170,29387059
Pounds of Materials Used,Grain Products,2012,4,Wheat and wheat products,2001345,1892923,7697704,9563612
Pounds of Materials Used,Total Grain products,2012,4,Total Grain products,485319297,470729232,1898165699,1896793363
Pounds of Materials Used,Non-Grain Products,2012,4,Sugar and syrups,82481856,68304781,292062517,281027866
Pounds of Materials Used,Non-Grain Products,2012,4,Hops (dry),11641934,9995292,33123667,34498385
Pounds of Materials Used,Non-Grain Products,2012,4,Hops (used as extracts),338454,330339,1329131,1261180
Pounds of Materials Used,Non-Grain Products,2012,4,Other,9872076,10332065,37195769,37426741
Pounds of Materials Used,Total Non-Grain products,2012,4,Total Non-Grain products,104334320,88962477,363711084,354214172
Pounds of Materials Used,Total Used,2012,4,Total Used,589653617,559691709,2261876783,2251007535
Pounds of Materials Used,Grain Products,2012,5,Malt and malt products,373071360,353100730,1744882637,1700144148
Pounds of Materials Used,Grain Products,2012,5,Corn and corn products,66220273,50574451,314404797,283066381
Pounds of Materials Used,Grain Products,2012,5,Rice and rice products,61702673,62449812,296177697,340757156
Pounds of Materials Used,Grain Products,2012,5,Barley and barley products,7116069,6393541,43113239,35780600
Pounds of Materials Used,Grain Products,2012,5,Wheat and wheat products,2141313,1784974,9839017,11348586
Pounds of Materials Used,Total Grain products,2012,5,Total Grain products,510251688,474303508,2408417387,2371096871
Pounds of Materials Used,Non-Grain Products,2012,5,Sugar and syrups,87785168,66296984,379847685,347324850
Pounds of Materials Used,Non-Grain Products,2012,5,Hops (dry),12583340,10156488,45707007,44654873
Pounds of Materials Used,Non-Grain Products,2012,5,Hops (used as extracts),346461,438895,1675592,1700075
Pounds of Materials Used,Non-Grain Products,2012,5,Other,10260031,10803617,47455800,48230358
Pounds of Materials Used,Total Non-Grain products,2012,5,Total Non-Grain products,110975000,87695984,474686084,441910156
Pounds of Materials Used,Total Used,2012,5,Total Used,621226688,561999492,2883103471,2813007027
Pounds of Materials Used,Grain Products,2012,6,Malt and malt products,387306474,382627845,2132189111,2082771993
Pounds of Materials Used,Grain Products,2012,6,Corn and corn products,63113188,49417181,377517985,332483562
Pounds of Materials Used,Grain Products,2012,6,Rice and rice products,59527958,69708002,355705655,410468391
Pounds of Materials Used,Grain Products,2012,6,Barley and barley products,17104839,14997119,60218078,50777719
Pounds of Materials Used,Grain Products,2012,6,Wheat and wheat products,2947584,2654541,12786601,14003127
Pounds of Materials Used,Total Grain products,2012,6,Total Grain products,530000043,519404688,2938417430,2890504792
Pounds of Materials Used,Non-Grain Products,2012,6,Sugar and syrups,89443470,67274820,469291155,414599670
Pounds of Materials Used,Non-Grain Products,2012,6,Hops (dry),12720422,10758127,58427429,55413000
Pounds of Materials Used,Non-Grain Products,2012,6,Hops (used as extracts),474060,339374,2149652,2039449
Pounds of Materials Used,Non-Grain Products,2012,6,Other,11784212,12455007,59240012,60685365
Pounds of Materials Used,Total Non-Grain products,2012,6,Total Non-Grain products,114422164,90827328,589108248,532737484
Pounds of Materials Used,Total Used,2012,6,Total Used,644422207,610232016,3527525678,3423242276
Pounds of Materials Used,Grain Products,2012,7,Malt and malt products,363222892,351467408,2495455374,2434239401
Pounds of Materials Used,Grain Products,2012,7,Corn and corn products,62878256,47894955,440396241,380378517
Pounds of Materials Used,Grain Products,2012,7,Rice and rice products,60381322,69787386,416387427,480255777
Pounds of Materials Used,Grain Products,2012,7,Barley and barley products,9486054,6744178,69704132,57521897
Pounds of Materials Used,Grain Products,2012,7,Wheat and wheat products,2062199,1571775,14848800,15574902
Pounds of Materials Used,Total Grain products,2012,7,Total Grain products,498030723,477465702,3436791974,3367970494
Pounds of Materials Used,Non-Grain Products,2012,7,Sugar and syrups,92543919,62189365,561835567,476789035
Pounds of Materials Used,Non-Grain Products,2012,7,Hops (dry),12188084,9636063,70616140,65049063
Pounds of Materials Used,Non-Grain Products,2012,7,Hops (used as extracts),391852,333300,2541504,2372749
Pounds of Materials Used,Non-Grain Products,2012,7,Other,10558223,9961526,69802320,70646891
Pounds of Materials Used,Total Non-Grain products,2012,7,Total Non-Grain products,115682078,82120254,704795531,614857738
Pounds of Materials Used,Total Used,2012,7,Total Used,613712801,559585956,4141587505,3982828232
Pounds of Materials Used,Grain Products,2012,8,Malt and malt products,362799587,363072250,2861516025,2797402418
Pounds of Materials Used,Grain Products,2012,8,Corn and corn products,53320491,49105904,493716582,429484421
Pounds of Materials Used,Grain Products,2012,8,Rice and rice products,65214228,72428017,481602155,552683794
Pounds of Materials Used,Grain Products,2012,8,Barley and barley products,8622164,7610778,78447311,65132675
Pounds of Materials Used,Grain Products,2012,8,Wheat and wheat products,2286719,1690506,17167694,17265408
Pounds of Materials Used,Total Grain products,2012,8,Total Grain products,492243189,493907455,3932449767,3861968716
Pounds of Materials Used,Non-Grain Products,2012,8,Sugar and syrups,77156577,60020743,638996528,536809778
Pounds of Materials Used,Non-Grain Products,2012,8,Hops (dry),10374025,7609273,81031064,72660073
Pounds of Materials Used,Non-Grain Products,2012,8,Hops (used as extracts),472469,324174,3013973,2696923
Pounds of Materials Used,Non-Grain Products,2012,8,Other,10626133,9426213,80434301,80073104
Pounds of Materials Used,Total Non-Grain products,2012,8,Total Non-Grain products,98629204,77380403,803475866,692239878
Pounds of Materials Used,Total Used,2012,8,Total Used,590872393,571287858,4735925633,4554208594
Pounds of Materials Used,Grain Products,2012,9,Malt and malt products,336789908,316174474,3198706275,3113790323
Pounds of Materials Used,Grain Products,2012,9,Corn and corn products,50320517,47184013,544038171,476668434
Pounds of Materials Used,Grain Products,2012,9,Rice and rice products,62119884,55199197,543722039,607885884
Pounds of Materials Used,Grain Products,2012,9,Barley and barley products,16834020,34557083,95632721,99689758
Pounds of Materials Used,Grain Products,2012,9,Wheat and wheat products,2676324,2397458,19871889,19665916
Pounds of Materials Used,Total Grain products,2012,9,Total Grain products,468740653,455512225,4401971095,4317700315
Pounds of Materials Used,Non-Grain Products,2012,9,Sugar and syrups,65251144,61369571,704250177,598179633
Pounds of Materials Used,Non-Grain Products,2012,9,Hops (dry),10180667,7645101,91226983,80307376
Pounds of Materials Used,Non-Grain Products,2012,9,Hops (used as extracts),301893,299612,3315866,2996535
Pounds of Materials Used,Non-Grain Products,2012,9,Other,11155361,10127576,91721051,90200730
Pounds of Materials Used,Total Non-Grain products,2012,9,Total Non-Grain products,86889065,79441860,890514077,771684274
Pounds of Materials Used,Total Used,2012,9,Total Used,555629718,534954085,5292485172,5089384589
Pounds of Materials Used,Grain Products,2012,10,Malt and malt products,321542825,313742612,3510158822,3427666793
Pounds of Materials Used,Grain Products,2012,10,Corn and corn products,50852126,48091550,591761974,524759984
Pounds of Materials Used,Grain Products,2012,10,Rice and rice products,59885904,50351803,603837897,658237709
Pounds of Materials Used,Grain Products,2012,10,Barley and barley products,9353404,7733859,105883583,107427284
Pounds of Materials Used,Grain Products,2012,10,Wheat and wheat products,1762481,1542572,21677425,21210564
Pounds of Materials Used,Total Grain products,2012,10,Total Grain products,443396740,421462396,4833319701,4739302334
Pounds of Materials Used,Non-Grain Products,2012,10,Sugar and syrups,70185532,65484823,769380701,663664645
Pounds of Materials Used,Non-Grain Products,2012,10,Hops (dry),9505007,7269967,100770829,87578226
Pounds of Materials Used,Non-Grain Products,2012,10,Hops (used as extracts),309173,306580,3621699,3303115
Pounds of Materials Used,Non-Grain Products,2012,10,Other,10274692,9706496,102099596,99959413
Pounds of Materials Used,Total Non-Grain products,2012,10,Total Non-Grain products,90274404,82767866,975872825,854505399
Pounds of Materials Used,Total Used,2012,10,Total Used,533671144,504230262,5809192526,5593807733
Pounds of Materials Used,Grain Products,2012,11,Malt and malt products,295672895,303863556,3806333537,3731543767
Pounds of Materials Used,Grain Products,2012,11,Corn and corn products,44981825,53879230,636743799,578639214
Pounds of Materials Used,Grain Products,2012,11,Rice and rice products,61082730,43496310,664921077,701734019
Pounds of Materials Used,Grain Products,2012,11,Barley and barley products,7563555,6071240,113988430,113498524
Pounds of Materials Used,Grain Products,2012,11,Wheat and wheat products,1709859,1301413,23461660,22511977
Pounds of Materials Used,Total Grain products,2012,11,Total Grain products,411010864,408611749,5245448503,5147927501
Pounds of Materials Used,Non-Grain Products,2012,11,Sugar and syrups,64916501,55693438,834319750,719358083
Pounds of Materials Used,Non-Grain Products,2012,11,Hops (dry),10621547,8468114,111411157,96047060
Pounds of Materials Used,Non-Grain Products,2012,11,Hops (used as extracts),303256,290356,3925112,3593471
Pounds of Materials Used,Non-Grain Products,2012,11,Other,9681814,8545030,111831223,108658331
Pounds of Materials Used,Total Non-Grain products,2012,11,Total Non-Grain products,85523118,72996938,1061487242,927656945
Pounds of Materials Used,Total Used,2012,11,Total Used,496533982,481608687,6306935745,6075584446
Pounds of Materials Used,Grain Products,2012,12,Malt and malt products,299861553,296947972,4106758575,4028492092
Pounds of Materials Used,Grain Products,2012,12,Corn and corn products,43809820,50510647,680554131,629149861
Pounds of Materials Used,Grain Products,2012,12,Rice and rice products,51883289,46842712,716807617,748578581
Pounds of Materials Used,Grain Products,2012,12,Barley and barley products,14176754,14327681,128649934,127832365
Pounds of Materials Used,Grain Products,2012,12,Wheat and wheat products,1789996,1825143,25287736,24337120
Pounds of Materials Used,Total Grain products,2012,12,Total Grain products,411521412,410454155,5658057993,5558390019
Pounds of Materials Used,Non-Grain Products,2012,12,Sugar and syrups,59586860,52502259,893916021,771860342
Pounds of Materials Used,Non-Grain Products,2012,12,Hops (dry),7808600,11679476,119240171,107726628
Pounds of Materials Used,Non-Grain Products,2012,12,Hops (used as extracts),293877,238912,4219099,3832383
Pounds of Materials Used,Non-Grain Products,2012,12,Other,9358030,8397688,121203365,117056019
Pounds of Materials Used,Total Non-Grain products,2012,12,Total Non-Grain products,77047367,72818335,1138578656,1000475372
Pounds of Materials Used,Total Used,2012,12,Total Used,488568779,483272490,6796636649,6558865391
Pounds of Materials Used,Grain Products,2013,1,Malt and malt products,326450615,322367885,326450615,322367885
Pounds of Materials Used,Grain Products,2013,1,Corn and corn products,50597106,61859978,50597106,61859978
Pounds of Materials Used,Grain Products,2013,1,Rice and rice products,62177066,63568058,62177066,63568058
Pounds of Materials Used,Grain Products,2013,1,Barley and barley products,7749970,5830442,7749970,5830442
Pounds of Materials Used,Grain Products,2013,1,Wheat and wheat products,1537526,1345768,1537526,1345768
Pounds of Materials Used,Total Grain products,2013,1,Total Grain products,448512283,454972131,448512283,454972131
Pounds of Materials Used,Non-Grain Products,2013,1,Sugar and syrups,72878590,63306838,72878590,63306838
Pounds of Materials Used,Non-Grain Products,2013,1,Hops (dry),9164708,9657602,9164708,9657602
Pounds of Materials Used,Non-Grain Products,2013,1,Hops (used as extracts),323285,293488,323285,293488
Pounds of Materials Used,Non-Grain Products,2013,1,Other,10673797,9176359,10673797,9176359
Pounds of Materials Used,Total Non-Grain products,2013,1,Total Non-Grain products,93040380,82434287,93040380,82434287
Pounds of Materials Used,Total Used,2013,1,Total Used,541552663,537406418,541552663,537406418
Pounds of Materials Used,Grain Products,2013,2,Malt and malt products,311283986,323703710,637743284,646071595
Pounds of Materials Used,Grain Products,2013,2,Corn and corn products,46499056,62631394,97096162,124491372
Pounds of Materials Used,Grain Products,2013,2,Rice and rice products,61926310,54391383,124103376,117959441
Pounds of Materials Used,Grain Products,2013,2,Barley and barley products,7486134,6060620,15629894,11891062
Pounds of Materials Used,Grain Products,2013,2,Wheat and wheat products,1823446,1422257,3361027,2768025
Pounds of Materials Used,Total Grain products,2013,2,Total Grain products,429018932,448209364,877933743,903181495
Pounds of Materials Used,Non-Grain Products,2013,2,Sugar and syrups,71244280,65774233,144122870,129081071
Pounds of Materials Used,Non-Grain Products,2013,2,Hops (dry),9456485,1464601,18624716,11122203
Pounds of Materials Used,Non-Grain Products,2013,2,Hops (used as extracts),324126,361917,647411,655405
Pounds of Materials Used,Non-Grain Products,2013,2,Other,9279419,7170348,19953316,16346707
Pounds of Materials Used,Total Non-Grain products,2013,2,Total Non-Grain products,90304310,74771099,183348313,157205386
Pounds of Materials Used,Total Used,2013,2,Total Used,519323242,522980463,1061282056,1060386881
Pounds of Materials Used,Grain Products,2013,3,Malt and malt products,340319408,369980511,978521908,1016074881
Pounds of Materials Used,Grain Products,2013,3,Corn and corn products,47314812,62379904,144443324,186877176
Pounds of Materials Used,Grain Products,2013,3,Rice and rice products,62869950,59250359,187206449,177211213
Pounds of Materials Used,Grain Products,2013,3,Barley and barley products,15469983,16967432,31115345,28858494
Pounds of Materials Used,Grain Products,2013,3,Wheat and wheat products,2721578,2947590,6118304,5715615
Pounds of Materials Used,Total Grain products,2013,3,Total Grain products,468695731,511525796,1347405330,1414737379
Pounds of Materials Used,Non-Grain Products,2013,3,Sugar and syrups,85703037,80530575,229846046,209611646
Pounds of Materials Used,Non-Grain Products,2013,3,Hops (dry),9754327,10388838,28393760,21511041
Pounds of Materials Used,Non-Grain Products,2013,3,Hops (used as extracts),372356,335457,1020346,990990
Pounds of Materials Used,Non-Grain Products,2013,3,Other,13802289,11070873,33755640,27417580
Pounds of Materials Used,Total Non-Grain products,2013,3,Total Non-Grain products,109632009,102325743,293015792,259531257
Pounds of Materials Used,Total Used,2013,3,Total Used,578327740,613851539,1640421122,1674268636
Pounds of Materials Used,Grain Products,2013,4,Malt and malt products,334351807,345013324,1313106808,1361088497
Pounds of Materials Used,Grain Products,2013,4,Corn and corn products,46416330,58184490,190859654,245061666
Pounds of Materials Used,Grain Products,2013,4,Rice and rice products,63584763,57264320,250791532,234475533
Pounds of Materials Used,Grain Products,2013,4,Barley and barley products,8355161,7616737,39531319,36443341
Pounds of Materials Used,Grain Products,2013,4,Wheat and wheat products,2339352,2001978,8468371,7717893
Pounds of Materials Used,Total Grain products,2013,4,Total Grain products,455047413,470080849,1802757684,1884786930
Pounds of Materials Used,Non-Grain Products,2013,4,Sugar and syrups,92273777,77370856,322119540,286982452
Pounds of Materials Used,Non-Grain Products,2013,4,Hops (dry),9791137,11620990,38190319,33131750
Pounds of Materials Used,Non-Grain Products,2013,4,Hops (used as extracts),302532,338454,1322880,1329444
Pounds of Materials Used,Non-Grain Products,2013,4,Other,11928594,9872116,45727189,37289696
Pounds of Materials Used,Total Non-Grain products,2013,4,Total Non-Grain products,114296040,99202416,407359928,358733342
Pounds of Materials Used,Total Used,2013,4,Total Used,569343453,569283265,2210117612,2243520272
Pounds of Materials Used,Grain Products,2013,5,Malt and malt products,353589770,373536872,1667088721,1734625369
Pounds of Materials Used,Grain Products,2013,5,Corn and corn products,53185970,66220273,244045914,311281939
Pounds of Materials Used,Grain Products,2013,5,Rice and rice products,65774053,61702673,316565981,296178206
Pounds of Materials Used,Grain Products,2013,5,Barley and barley products,9322039,7121884,49109945,43567547
Pounds of Materials Used,Grain Products,2013,5,Wheat and wheat products,4781594,2141616,13275009,9860359
Pounds of Materials Used,Total Grain products,2013,5,Total Grain products,486653426,510723318,2290085570,2395513420
Pounds of Materials Used,Non-Grain Products,2013,5,Sugar and syrups,96158421,87785368,418279540,374767820
Pounds of Materials Used,Non-Grain Products,2013,5,Hops (dry),10286943,12587512,48491993,45719343
Pounds of Materials Used,Non-Grain Products,2013,5,Hops (used as extracts),323157,346461,1646397,1675905
Pounds of Materials Used,Non-Grain Products,2013,5,Other,12546040,10260093,58366513,47549793
Pounds of Materials Used,Total Non-Grain products,2013,5,Total Non-Grain products,119314561,110979434,526784443,469712861
Pounds of Materials Used,Total Used,2013,5,Total Used,605967987,621702752,2816870013,2865226281
Pounds of Materials Used,Grain Products,2013,6,Malt and malt products,370101067,389769307,2037533510,2124394566
Pounds of Materials Used,Grain Products,2013,6,Corn and corn products,53527463,63114556,297573337,374396495
Pounds of Materials Used,Grain Products,2013,6,Rice and rice products,64271218,59826990,380837199,356007412
Pounds of Materials Used,Grain Products,2013,6,Barley and barley products,18971859,18133225,68171671,61711456
Pounds of Materials Used,Grain Products,2013,6,Wheat and wheat products,3161620,3038029,16442620,12898943
Pounds of Materials Used,Total Grain products,2013,6,Total Grain products,510033227,533882107,2800558337,2929408872
Pounds of Materials Used,Non-Grain Products,2013,6,Sugar and syrups,87459068,89473918,505742949,464241546
Pounds of Materials Used,Non-Grain Products,2013,6,Hops (dry),12319034,12779044,60819301,58498602
Pounds of Materials Used,Non-Grain Products,2013,6,Hops (used as extracts),338940,474042,1985337,2149947
Pounds of Materials Used,Non-Grain Products,2013,6,Other,13473911,11927654,71841647,59481961
Pounds of Materials Used,Total Non-Grain products,2013,6,Total Non-Grain products,113590953,114654658,640389234,584372056
Pounds of Materials Used,Total Used,2013,6,Total Used,623624180,648536765,3440947571,3513780928
